seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_ssid,network_bssid,network_strength,network_ipAddress,network_frequency,network_cellularGeneration,network_carrier,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0.0,-0.07334914226289634,-0.39865550401896893,0.14609207701101734,7.229691641671317,3.9428522403423605,-4.775932584490095,0.474057119860444,1.1886756734181476,-0.2538974443851139,0.03916101073871807,0.26692757116896765,0.17691368208481714,0.930311273087512,0.5630946906058343,-0.38768558548046994,0.02728048275009944,-43.570925878441855,22.771875920503035,21.724321479382724,321.07372271999793,,,,,,,,,,,,,7.171087855878084,3.5332713619522425,-4.611895322799683,-51.71290978141453,6.489538275677225,74.84307338880456,0.47459320472958294,1.190479474871055,-0.25930407526902854,7.152869035909464,3.537438628437755,-4.6313886773455275
1.0,0.0591841148687344,-0.11798385183746908,0.21073363414582083,1.985011450215882,1.7575577129335964,-9.340322279462628,0.3403900986730979,0.4992597768645697,-1.3672332823424056,0.43410663496629864,0.5573369010406382,-0.25879112784248576,0.6199124604463577,1.3712457184698068,-0.17228694030028932,-1.0793497667593115,10.122375426888466,15.327375648617744,49.67212753295898,286.6801295224325,,,,,,,,,,,,,2.043848628123455,1.6391736058627857,-9.129085755815693,2.032125025391579,-1.1902500689029694,102.2887548828125,0.3418304475928002,0.49501224522395887,-1.3688492513086536,2.043848628123455,1.6391736058627857,-9.129085755815693
2.0,0.09813030970992871,-0.17727129804984768,-0.8823769212064176,1.275404291282786,8.018456775363129,-5.368817121675699,0.5625246314551023,0.32231348080962313,-0.09657622610821444,0.4935927798252295,0.4215793414871291,-0.19496825543960722,0.06324723799739466,1.4400457910972067,-1.027475115096215,-2.0533395332865196,20.798626022338865,-34.59937618255615,13.400250511169434,201.06345780761072,none,false,false,false,,,,,,,,,1.3731787833615694,7.840720247514177,-6.250680024080937,12.403500480651855,-51.05250225067139,65.71312774658203,0.5639535545864526,0.3180563759570028,-0.09820196157613513,1.3731787833615694,7.840720247514177,-6.250680024080937
3.0,-0.23514469370872962,-0.2555499043463185,0.46453194988725505,0.05981337564932828,9.082091473116733,-3.567902163703843,0.1759029404424569,0.21874901737707356,-0.09773823598801505,0.038268824615100824,0.057183287521400075,-0.016355029279642767,0.04642977214840213,1.6619932450870476,-1.220747686848782,-1.8194801949038364,26.544001159667967,-33.27375133514404,3.996375169754028,187.00621567383132,,,,,,,,,,,,,-0.16508089367519407,8.809963647057028,-3.1015471938778374,18.022500648498536,-49.524376983642576,56.487002487182615,0.18115829086244697,0.21450544251958922,-0.0981926959339935,-0.16508089367519407,8.809963647057028,-3.1015471938778374
4.0,-0.17240899798515089,0.13027638423384405,0.051604470822448824,0.8012054990908569,8.983675190046721,-3.739776099429411,0.0623365100795901,-0.039420297115782994,0.10124764841344983,-0.18468869901170917,-0.15339776522973003,0.085116549011539,0.03386122546690589,1.4807221655752145,-1.2061470443127202,-2.0749521056811013,21.863625869750976,-36.353251419067384,1.2502500587701797,182.02642064175166,none,false,false,false,,,,,,,,,0.6286573791100333,9.113482788497327,-3.6876810543677387,13.435125579833985,-52.54537727355957,53.89125205993653,0.06645649994723499,-0.04554549995344132,0.10199062388390302,0.6286573791100333,9.113482788497327,-3.6876810543677387
5.0,-0.03577467984990171,-0.5533242834879473,0.2158339690975499,0.3080560907371121,9.11355480345169,-3.4839831862119164,-0.05394718138610616,-0.0233251216739197,0.04709779362504681,-0.7020279104166692,-0.6485061143884564,0.2892216292053166,0.040305386066879376,1.6002199425555692,-1.207854175331569,-2.0201147062943714,22.425375785827637,-35.6737516784668,-0.549000015258789,179.12918650891004,,,,,,,,,,,,,0.27223664849517076,8.559751859985957,-3.2676343150658185,13.966875553131104,-51.88650230407715,52.13362739562988,-0.052506127193862315,-0.027576837921515107,0.04548014680781931,0.27223664849517076,8.559751859985957,-3.2676343150658185
6.0,-0.1051690614376549,-0.18939887171629632,0.1471207680291321,0.46520924488183957,9.136697901357518,-3.418162140515771,-0.044609124599955974,-0.04928962575271725,0.04598137583117932,-0.6798734062969094,-0.615418268312322,0.2787716548041542,0.05009178190358389,1.55046546695256,-1.2179715775027133,-2.083258102435877,21.723000793457032,-35.856001663208005,0.15300000578165054,180.250443093943,none,false,false,false,,,,,,,,,0.3598797190473369,8.946823181492267,-3.270551148322549,13.268625621795655,-52.06687744140625,52.8337523651123,-0.04317500076722354,-0.05353149987757206,0.04437399978749454,0.3598797190473369,8.946823181492267,-3.270551148322549
7.0,0.057400227994611946,0.18531818341205616,0.11192629574844153,0.6230239883655369,9.08573094925078,-3.520082114946724,-0.019248652390624378,0.07539044032055958,-0.06907757349750575,-0.4772795550894029,-0.4122936442346856,0.19926765325045823,0.053367000229087296,1.491404875670329,-1.2235787859057436,-2.1360060637540155,22.110000791549684,-35.51587640762329,0.3693750125169754,180.5333489787549,,,,,,,,,,,,,0.6801089410033851,9.270545492077819,-3.4076645209057497,13.921500549316406,-52.25775215148926,53.01562744140625,-0.017806249908080288,0.07113603177462138,-0.07069252481154513,0.6801089410033851,9.270545492077819,-3.4076645209057497
8.0,0.02319835569691278,-0.3314517032099413,0.0074407383890859055,0.5083478449058592,9.148840446098179,-3.420269435527278,-0.03991584093448254,0.05994727717952268,-0.006602724078157455,-0.4350033414130117,-0.3862411198662777,0.1743009045135741,0.030196186371932866,1.5171815554300945,-1.220514603689605,-2.049121631126778,23.39925090789795,-36.037876510620116,1.7598750746250154,182.84068762016702,none,false,false,false,,,,,,,,,0.5313926736513773,8.81688278796626,-3.412378096113018,14.931750564575195,-52.256627044677735,54.410252227783204,-0.03848094018729459,0.055694305098219085,-0.008220049040853092,0.5313926736513773,8.81688278796626,-3.412378096113018
9.0,-0.3153524453340255,-0.35241051784965516,0.4665127007456699,0.3542501375512543,9.182602854058294,-3.331971380970266,0.06901556407284065,0.05765159354618221,-0.007009803536621963,-0.5010300626849183,-0.4518320047029174,0.1931514067224937,0.030398207833491366,1.5518428948846195,-1.2236605670192453,-2.019054637096896,22.602000999450684,-35.365126571655274,1.7636250749975444,182.85831014431204,,,,,,,,,,,,,0.03888415891474279,8.829693997260367,-2.8649303287562757,14.112000503540038,-51.58012733459473,54.3723770904541,0.07045122456974258,0.0533998779742522,-0.008623406802322351,0.03888415891474279,8.829693997260367,-2.8649303287562757
