seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_ssid,network_bssid,network_strength,network_ipAddress,network_frequency,network_cellularGeneration,network_carrier,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0.0,0.08660976456037613,-0.4632175277507994,-0.42050940122565517,9.092212461656139,3.521872963956607,-0.2888107011219867,-1.3787494584397282,-0.45275940774108775,0.2628970423523056,-0.4694314193661495,-0.09999660272351517,0.16221354813665473,0.8296546122079255,0.009365201558994745,-0.3876140151293047,1.038038739273625,-43.05652344745138,4.786956660125567,-23.06372373000435,77.20218111568545,,,,,,,,,,,,,9.182274644092846,3.055674341417128,-0.7111677801817335,-51.525002189304516,-11.430163485848386,29.575680649798848,-1.377303479659942,-0.45700268412349365,0.26128400303423405,9.182274644092846,3.055674341417128,-0.7111677801817335
1.0,0.06527842162638017,0.8010090740932392,0.18020463111524535,7.042242283868317,3.9411389143160074,-4.2447983179942215,-0.8747615125943341,0.29962598082299036,1.1835811207226168,-0.5053962663848801,-0.01178353479002962,0.0934334158307255,0.23924710769044918,0.592293707008409,-0.4619896470910252,0.72417682704359,-23.87475101351738,-29.648626289367677,5.417625150680542,185.5507939928264,,,,,,,,,,,,,7.107038953516743,4.741650223916415,-4.064116536390664,-32.34300105333328,-45.86400161743164,58.06012722015381,-0.8733231521339393,0.2953756123817727,1.1819688604605914,7.107038953516743,4.741650223916415,-4.064116536390664
2.0,0.9520679546392286,-0.1860491226737698,-0.8026562037275118,1.1879460871922691,8.974424698773552,-3.5862433185764386,0.35940321498449046,-0.5695617551601833,0.18654665951202115,0.710698744245604,0.6746156174762576,-0.13581215655978987,0.10586007841515775,1.448460483083538,-1.2212098445378097,-1.7377259614420872,23.143875999450685,-31.94550136566162,20.144625740051268,212.00766573745707,none,false,false,false,,,,,,,,,2.1395765715826522,8.78788129488627,-4.3883722865698385,14.677500667572021,-48.162001953125,72.78862823486328,0.36084220200168465,-0.5738133627340419,0.18494022338383712,2.1395765715826522,8.78788129488627,-4.3883722865698385
3.0,-0.05624574422836304,-0.4562756775666286,0.067108792783047,1.4861053452633395,9.377474548793074,-2.3048136706399447,-0.053967401805315535,-0.0773356613867423,0.07124522054458365,0.7063660521318417,0.6901665908275264,-0.0463750492965821,0.14399372292037058,1.4053437107860451,-1.2984494206928971,-1.59645145482356,22.422375831604004,-30.899626388549805,22.828125839233397,216.29993567156944,,,,,,,,,,,,,1.4294748220334548,8.920671203348896,-2.2372129866392307,13.954125652313232,-47.116876678466795,75.47512741088867,-0.052523652274234625,-0.08158602697007797,0.06962622459703947,1.4294748220334548,8.920671203348896,-2.2372129866392307
4.0,-0.10938125297281087,0.11613301208754089,0.38398365932060224,1.014506582828129,9.433297007691626,-2.368197554466771,-0.059649133948738324,0.16410692840685495,0.04838230175491754,0.6955323949748394,0.6981280294119143,-0.051241666480314495,0.1551953427055303,1.5063091154192008,-1.2771523022184186,-1.4863798478070427,24.312750930786134,-28.6038761138916,24.9735009765625,221.0202366204073,none,false,false,false,,,,,,,,,0.9048897493174117,9.548931322845759,-1.9837559723094398,15.846000652313233,-44.82112640380859,77.61787796020508,-0.05820197980426768,0.15986348943102477,0.04676361270894361,0.9048897493174117,9.548931322845759,-1.9837559723094398
5.0,0.11736244244655447,-0.26163945391331567,-0.12529963940050048,1.0189480923189975,9.421366219473358,-2.4316277976083285,0.04694816237772066,0.060334189995831136,-0.04485870088797574,0.6963968731389187,0.6978778496827229,-0.062107316670146316,0.1532403066164196,1.5087312932061676,-1.2645082320317182,-1.5023022547806844,26.195251083374025,-28.435500984191894,22.063500900268554,217.77137923814828,,,,,,,,,,,,,1.1359574840505524,9.159252917412484,-2.55642041239408,17.72775074005127,-44.652376861572264,74.7086279296875,0.04838247500433057,0.05608517133776902,-0.04647230344605358,1.1359574840505524,9.159252917412484,-2.55642041239408
6.0,-0.22122052498161793,-0.44982682889567155,0.11643874302211374,0.9729630249738693,9.304577569961548,-2.890392906665802,0.030849499623291195,0.09658137382473797,-0.01893374912906438,0.7039107060668492,0.6884672966333899,-0.09235714833335121,0.14704662148315129,1.4672248186451373,-1.2296988692614113,-1.595796534330538,24.31800090789795,-30.10537628173828,20.05350070953369,213.6412957065766,none,false,false,false,,,,,,,,,0.7599265052955232,8.839790082445331,-2.790641312505685,15.852000617980957,-46.322251052856444,72.69637832641601,0.03650972173746788,0.09340694308224501,-0.02414999929999914,0.7517480546848314,8.853203844315935,-2.776846172785995
7.0,-0.28007820067817674,0.31674240021875094,0.023788472491444324,0.8450035444077324,9.254212987189199,-3.079469122138678,0.004887989621755539,-0.06605527096647112,0.050604043916488685,0.6898646769570369,0.7003938859584284,-0.09164298983181224,0.15540599983696843,1.5691842460164838,-1.218611127021266,-1.4807363327811747,25.01550106048584,-28.550626068115236,21.73275085449219,217.1983801119153,,,,,,,,,,,,,0.564720615927203,9.570423991072412,-3.0551633773207225,16.54987565994263,-44.76562637329101,74.37675308227539,0.006326348406682704,-0.07030833405259923,0.048986396478379476,0.564720615927203,9.570423991072412,-3.0551633773207225
8.0,-0.02835110047518617,-0.34402966332889284,-0.06618724929371683,0.648657299061813,9.253991863515118,-3.0878421764562627,-0.03958921371411313,-0.10127683634888016,0.014763724752793125,0.684942612553587,0.7046673911632878,-0.07722661352836259,0.1647844767511481,1.587605867055383,-1.2251635388572617,-1.4280133448024788,27.078751068115235,-27.759001045227052,22.7441259765625,219.26958805274143,none,false,false,false,,,,,,,,,0.6200658713956133,8.909406364554226,-3.153561531188022,18.61050079345703,-43.97475158691406,75.38812774658203,-0.03261744977426854,-0.10876930514258323,0.009989850845482975,0.6200658713956133,8.909406364554226,-3.153561531188022
9.0,-0.20325723298204443,-0.5403297691441634,0.10117219628620089,1.0731254307662739,9.347554618237066,-2.679098761549183,0.017860024798624585,0.004982671866396276,-0.06412537124856274,0.6974450034253737,0.6905176277254143,-0.051124754891383885,0.18329430503003738,1.4479924113142724,-1.2369638342483371,-1.5036576752569162,25.01100101470947,-29.263126029968262,22.414500885009765,217.39255565071508,,,,,,,,,,,,,0.8696750355884433,8.806737175174788,-2.5774133509280635,16.543125705718992,-45.479626693725585,75.0581282043457,0.01929084192223773,7.297028787434101E-4,-0.06574678210320302,0.8696750355884433,8.806737175174788,-2.5774133509280635
