seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_ssid,network_bssid,network_strength,network_ipAddress,network_frequency,network_cellularGeneration,network_carrier,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
0,-0.218115481,-0.45278953,1.337781778,3.996653013,5.848980547,-2.959970059,1.802666837,1.248943879,0.986196333,-0.111014163,0.185842151,0.477689697,0.760809793,0.115464224,-0.755417998,0.445093182,-39.73324672,-10.7309845,6.896010976,172.6754,,,,,,,,,,,,,3.802431705,5.402194803,-1.638306614,-57.85252916,-5.051728916,63.47114628,1.783939764,1.233944212,0.9709836,3.699908421,5.442845844,-1.641727016
1,0.438966975,-0.51041925,0.43659219,-5.174382532,5.784638395,5.757444178,0.544722425,-0.132676715,0.151727207,0.24452556,-0.160734853,0.83149085,0.39974153,-2.30819624,-0.596528075,-2.418542334,-0.608625015,-41.81550148,-24.08962616,150.0735664,,,,,,,,,,,,,-4.734923732,5.273738503,6.193535592,-18.72712568,-36.13837635,32.48137638,0.546139213,-0.136719488,0.150310419,-4.734923732,5.273738503,6.193535592
2,-1.415443563,0.556636191,0.481729461,-0.990070232,8.454263453,3.67338132,-0.850127102,-0.602401112,-0.510179455,0.032317208,-0.136075476,0.712292423,0.637239348,-1.525053733,-1.276005392,-1.383735771,-23.81812593,-38.20537651,-18.34050084,154.85609,none,FALSE,FALSE,FALSE,,,,,,,,,-2.384971901,9.017367712,4.139832372,-41.93775124,-32.52712601,38.23050152,-0.858290123,-0.615993116,-0.518740748,-2.384971901,9.017367712,4.139832372
3,-0.222804145,-0.007717552,-0.147066287,-0.599903882,9.682747598,1.144207592,-0.043108946,0.004586029,-0.118409068,-0.167355497,-0.161004259,0.67243774,0.702214645,-0.123123075,-1.508130063,0.345818448,-28.64887611,-37.48687637,-14.17200062,159.3744776,,,,,,,,,,,,,-0.81638092,9.697801913,1.002458876,-46.76812683,-31.80825142,42.40237656,-0.041701592,5.23E-04,-0.119827205,-0.81638092,9.697801913,1.002458876
4,0.082260722,-0.483834863,-0.170301194,-0.202959356,9.694018496,1.26873676,-0.107395668,-0.002711881,-0.006587748,-0.197819729,-0.18972228,0.643991385,0.713723046,-0.21835279,-1.461353903,0.33772533,-28.62600113,-36.50437645,-15.45900053,157.0852124,none,FALSE,FALSE,FALSE,,,,,,,,,-0.122169807,9.191731595,1.105375299,-46.74675163,-30.8265012,41.1150013,-0.105565624,-0.007297125,-0.009102499,-0.119271005,9.210639405,1.09161905
5,0.320352152,0.098939253,0.02822148,-0.049430774,9.758156758,0.743482383,-0.017776594,0.029915686,-5.54E-04,-0.203599539,-0.164645136,0.639500058,0.722546693,0.164070354,-1.436569915,0.692158797,-28.71337612,-36.65475136,-14.20875055,158.8325275,,,,,,,,,,,,,0.270785308,9.856585788,0.771464738,-46.83075134,-30.97912613,42.36487663,-0.01636924,0.025855392,-0.001977574,0.270785308,9.856585788,0.771464738
6,0.199194657,0.014034031,0.057807403,-0.12592309,9.773375209,0.518959624,-0.033004083,-0.110669801,0.001855569,-0.209825256,-0.156349474,0.640632853,0.721376657,0.291297282,-1.428002131,0.816566196,-30.16575115,-36.82912643,-14.40225063,158.6656073,none,FALSE,FALSE,FALSE,,,,,,,,,0.073378221,9.7869718,0.576608935,-48.28462692,-31.15050117,42.17175133,-0.03159505,-0.114730816,4.26E-04,0.073378221,9.7869718,0.576608935
7,-0.005442586,-0.401033802,0.19808601,-0.07054936,9.77889708,0.200250205,0.007311763,-0.047649142,0.030480516,-0.249255168,-0.184799599,0.628418049,0.712884827,0.321012425,-1.417640896,0.946919725,-28.59975105,-37.4381266,-15.21675062,157.9321475,,,,,,,,,,,,,-0.075848537,9.377331336,0.398332371,-46.71825165,-31.75875134,41.35575157,0.008728555,-0.051710783,0.029051592,-0.075848537,9.377331336,0.398332371
8,0.273885355,-0.426216578,-0.099329725,-0.09028697,9.783128229,0.280707783,0.045232054,-0.132514604,-0.034440347,-0.269932168,-0.212146346,0.616942364,0.707140813,0.214607969,-1.415162024,0.91292132,-25.98600109,-37.47112659,-15.11437558,158.1571232,none,FALSE,FALSE,FALSE,,,,,,,,,0.183726244,9.356421239,0.181327732,-44.10450157,-31.79287659,41.45775139,0.046653342,-0.136571535,-0.035856188,0.183726244,9.356421239,0.181327732
9,0.317910173,0.07052536,-0.062076208,-0.098606735,9.779434933,0.134789488,0.016090196,0.011407109,0.016521568,-0.297407119,-0.22603006,0.60703564,0.70100375,0.250215507,-1.400689482,1.011492064,-25.90612606,-38.74050148,-16.98037565,156.3545912,,,,,,,,,,,,,0.219325008,9.849465155,0.072707357,-44.02350143,-33.06225147,39.59212669,0.01751103,0.007357599,0.015096692,0.219325008,9.849465155,0.072707357
